"Task Name","Description","Execution Time","Status","Response Time","Responded By","","TaskID"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","8:15","Expired","8/25/2025, 11:30:00 AM","","","019"
"قفل الكيرو","الرجاء قفل الكيرو و جميع التكييفات","8:10","Expired","8/25/2025, 11:30:00 AM","","","020"
"البدء في تاسكات النظافه ","الرجاء البدء في تاسكات النظافه المتعلقه بالشيفت","8:30","Expired","8/25/2025, 11:30:00 AM","","","021"
"مرور نظافه","كنس و مسح المحل كله","9:00","Expired","8/25/2025, 11:30:00 AM","","","022"
"فتح السيرفر و الكيرو","الرجاء فتح السيرفر و الكيرو و السويتشات","10:00","Expired","8/25/2025, 11:30:00 AM","","","023"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","10:10","Expired","8/25/2025, 11:30:00 AM","","","024"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","10:15","Expired","8/25/2025, 11:30:00 AM","","","025"
"ملئ الثلاجه ","الرجاء ملئ الثلاجه و تكمله النواقص","10:15","Expired","8/25/2025, 11:30:00 AM","","","026"
"تحديثات الالعاب","الرجاء القيام بتحديث الالعاب","12:00","Pending","","","","027-1"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات و السجائر","12:00","Pending","","","","27-2"
"تحديثات الالعاب","الرجاء القيام بتحديث الالعاب","12:30","Pending","","","","028"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","13:00","Pending","","","","029"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات و مسح الارضيه","13:30","Pending","","","","030"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","14:00","Pending","","","","031"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","14:30","Pending","","","","032"
"مرور نظافه","مسح خشب الفولت و شاشات الفولت","15:00","Pending","","","","033"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","16:00","Pending","","","","034"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","17:00","Pending","","","","035"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","17:50","Pending","","","","036"
"فتح اليافطه","الرجاء بفتح نور اليافطه من لوحه مفاتيح الكهرباء","17:55","Pending","","","","037"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","18:00","Pending","","","","038"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","18:10","Pending","","","","039"
"ملئ الثلاجه ","الرجاء ملئ الثلاجه و تكمله النواقص","18:30","Pending","","","","040"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","19:00","Pending","","","","041"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","20:00","Pending","","","","042"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","20:10","Pending","","","","043"
"تنضيف منطقه الكاشير","الرجاء بتنظيف منطقه الكاشير","21:00","Pending","","","","044"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","21:30","Pending","","","","045"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","22:00","Pending","","","","046"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","22:30","Pending","","","","047"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","23:00","Pending","","","","048"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","23:30","Pending","","","","049"
