"Task Name","Description","Execution Time","Status","Response Time","Responded By","","TaskID"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","10:10","Expired","8/19/2025, 12:10:00 PM","","","024"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","10:15","Expired","8/19/2025, 12:10:00 PM","","","025"
"ملئ الثلاجه ","الرجاء ملئ الثلاجه و تكمله النواقص","10:15","Expired","8/19/2025, 12:10:00 PM","","","026"
"تحديثات الالعاب","الرجاء القيام بتحديث الالعاب","12:00","Expired","8/19/2025, 1:00:00 PM","","","027-1"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات و السجائر","12:00","Expired","8/19/2025, 1:10:00 PM","","","27-2"
"تحديثات الالعاب","الرجاء القيام بتحديث الالعاب","12:30","Expired","8/19/2025, 1:30:00 PM","","","028"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","13:00","Expired","8/19/2025, 2:00:00 PM","","","029"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات و مسح الارضيه","13:30","Expired","8/19/2025, 2:30:00 PM","","","030"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","14:00","Expired","8/19/2025, 3:00:00 PM","","","031"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","14:30","Expired","8/19/2025, 3:30:00 PM","","","032"
"مرور نظافه","مسح خشب الفولت و شاشات الفولت","15:00","Expired","8/19/2025, 4:00:00 PM","","","033"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","16:00","Expired","8/19/2025, 5:00:00 PM","","","034"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","17:00","Expired","8/19/2025, 6:00:00 PM","","","035"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","17:50","Expired","8/19/2025, 7:00:00 PM","","","036"
"فتح اليافطه","الرجاء بفتح نور اليافطه من لوحه مفاتيح الكهرباء","17:55","Expired","8/19/2025, 7:00:00 PM","","","037"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","18:00","Expired","8/19/2025, 7:00:00 PM","","","038"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","18:10","Expired","8/19/2025, 7:10:00 PM","","","039"
"ملئ الثلاجه ","الرجاء ملئ الثلاجه و تكمله النواقص","18:30","Expired","8/19/2025, 7:30:00 PM","","","040"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","19:00","Expired","8/19/2025, 8:00:00 PM","","","041"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","20:00","Expired","8/19/2025, 9:00:00 PM","","","042"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","20:10","Expired","8/19/2025, 9:10:00 PM","","","043"
"تنضيف منطقه الكاشير","الرجاء بتنظيف منطقه الكاشير","21:00","Expired","8/19/2025, 10:00:00 PM","","","044"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","21:30","Expired","8/19/2025, 11:20:00 PM","","","045"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","22:00","Expired","8/19/2025, 11:20:00 PM","","","046"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","22:30","Expired","8/20/2025, 12:20:00 AM","","","047"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","23:00","Expired","8/20/2025, 12:30:00 AM","","","048"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","23:30","Expired","8/20/2025, 12:30:00 AM","","","049"
